FTR,HomeTeam,AwayTeam,B365H,B365D,B365A
A,Burnley,Swansea,2.4,3.3,3.25
A,Crystal Palace,West Brom,2,3.3,4.5
D,Everton,Tottenham,3.2,3.4,2.4
H,Hull,Leicester,4.5,3.6,1.91
H,Man City,Sunderland,1.25,6.5,15
D,Middlesbrough,Stoke,2.38,3.2,3.4
D,Southampton,Watford,1.8,3.75,5
A,Arsenal,Liverpool,2.4,3.5,3.1
A,Bournemouth,Man United,4.75,3.6,1.85
H,Chelsea,West Ham,1.65,4,6
H,Man United,Southampton,1.53,4.2,7.5
H,Burnley,Liverpool,6.5,4.2,1.57
D,Leicester,Arsenal,2.88,3.6,2.5
A,Stoke,Man City,5.5,3.8,1.73
A,Swansea,Hull,1.8,3.6,5.25
H,Tottenham,Crystal Palace,1.45,4.75,8
A,Watford,Chelsea,5.5,3.8,1.73
A,West Brom,Everton,3,3.25,2.6
A,Sunderland,Middlesbrough,2.55,3.2,3.1
H,West Ham,Bournemouth,1.95,3.75,4
H,Chelsea,Burnley,1.25,5.5,15
D,Crystal Palace,Bournemouth,2.3,3.2,3.3
H,Everton,Stoke,1.73,3.6,5.25
A,Hull,Man United,8,4.1,1.44
H,Leicester,Swansea,1.73,3.6,5.25
D,Southampton,Sunderland,1.57,3.6,6.5
D,Tottenham,Liverpool,2.38,3.4,3
A,Watford,Arsenal,5,3.75,1.73
H,Man City,West Ham,1.25,6,11
D,West Brom,Middlesbrough,2.6,3.1,2.9
H,Arsenal,Southampton,1.57,4.2,6.5
H,Bournemouth,West Brom,2.05,3.25,4.33
D,Burnley,Hull,2.45,3.1,3.4
H,Liverpool,Leicester,1.7,4,5.5
A,Man United,Man City,2.38,3.25,3.4
A,Middlesbrough,Crystal Palace,2.3,3.2,3.6
A,Stoke,Tottenham,4.6,3.75,1.85
A,West Ham,Watford,1.91,3.6,4.5
D,Swansea,Chelsea,5.75,4,1.67
A,Sunderland,Everton,3.8,3.5,2.1
A,Chelsea,Liverpool,2.25,3.5,3.4
H,Everton,Middlesbrough,1.67,3.8,6
A,Hull,Arsenal,6,4.2,1.6
H,Leicester,Burnley,1.5,4.33,8
H,Man City,Bournemouth,1.29,6,12
H,West Brom,West Ham,2.8,3.2,2.8
H,Crystal Palace,Stoke,2,3.5,4.2
H,Southampton,Swansea,1.7,3.8,5.75
H,Tottenham,Sunderland,1.33,5.5,11
H,Watford,Man United,6,4.2,1.62
H,Arsenal,Chelsea,2.4,3.5,3.1
H,Bournemouth,Everton,3.6,3.5,2.15
H,Liverpool,Hull,1.22,7,15
H,Man United,Leicester,1.73,3.9,5.25
A,Middlesbrough,Tottenham,3.75,3.5,2.1
D,Stoke,West Brom,2.38,3.3,3.3
A,Sunderland,Crystal Palace,2.88,3.25,2.7
A,Swansea,Man City,9,5.5,1.36
A,West Ham,Southampton,2.8,3.3,2.75
H,Burnley,Watford,2.9,3.2,2.7
D,Everton,Crystal Palace,1.73,4,5
A,Hull,Chelsea,7.5,4.5,1.5
D,Sunderland,West Brom,2.5,3.25,3.2
A,Swansea,Liverpool,8,4.75,1.45
D,Watford,Bournemouth,2.38,3.3,3.3
D,West Ham,Middlesbrough,2.25,3.4,3.5
A,Burnley,Arsenal,9,5,1.4
D,Leicester,Southampton,2.25,3.4,3.5
D,Man United,Stoke,1.33,5.75,10
H,Tottenham,Man City,3,3.5,2.5
H,Arsenal,Swansea,1.29,6.5,11
H,Bournemouth,Hull,1.85,3.5,5
H,Chelsea,Leicester,1.57,4.5,6
A,Crystal Palace,West Ham,2.15,3.5,3.6
D,Man City,Everton,1.5,4.75,7
H,Stoke,Sunderland,2,3.6,4
D,West Brom,Tottenham,5.5,3.8,1.73
A,Middlesbrough,Watford,2.25,3.3,3.6
H,Southampton,Burnley,1.4,4.8,9.5
D,Liverpool,Man United,2.2,3.5,3.5
D,Arsenal,Middlesbrough,1.25,6.5,15
D,Bournemouth,Tottenham,4.2,3.6,1.95
H,Burnley,Everton,6,3.8,1.67
A,Hull,Stoke,3.1,3.3,2.5
H,Leicester,Crystal Palace,2.05,3.5,3.9
H,Liverpool,West Brom,1.29,6,13
D,Swansea,Watford,2.38,3.3,3.3
H,West Ham,Sunderland,1.67,4,5.75
H,Chelsea,Man United,2.15,3.4,3.8
D,Man City,Southampton,1.5,4.5,7.5
A,Crystal Palace,Liverpool,5.25,4,1.7
D,Man United,Burnley,1.2,7,19
H,Middlesbrough,Bournemouth,2.5,3.2,3.2
A,Sunderland,Arsenal,9,5,1.4
D,Tottenham,Leicester,1.62,4.2,6
H,Watford,Hull,1.75,3.75,5.25
A,West Brom,Man City,8,4.75,1.44
H,Everton,West Ham,1.8,3.8,4.75
A,Southampton,Chelsea,3.2,3.4,2.4
H,Stoke,Swansea,2.05,3.6,3.8
A,Bournemouth,Sunderland,1.65,4.2,5.5
H,Burnley,Crystal Palace,3.3,3.3,2.38
H,Chelsea,Everton,1.53,4.33,7
D,Man City,Middlesbrough,1.22,7,15
D,West Ham,Stoke,2,3.6,4
D,Arsenal,Tottenham,1.95,3.6,4.2
H,Hull,Southampton,5.75,3.8,1.7
A,Leicester,West Brom,1.8,3.6,5.25
H,Liverpool,Watford,1.29,6,12
A,Swansea,Man United,5,4,1.73
A,Crystal Palace,Man City,6.5,4.5,1.53
D,Everton,Swansea,1.6,4.33,6
D,Man United,Arsenal,2.6,3.4,2.9
D,Southampton,Liverpool,3.4,3.6,2.2
A,Stoke,Bournemouth,2.3,3.4,3.4
H,Sunderland,Hull,2.15,3.4,3.8
